A1 A5
N10 H10
F3 F7
A12 C12
I1 M1
C6 E6
I7 I7
F12 F12
F5 F9
G12 M12
L2 L6
E4 E6
G8 I8
F1 H1
I1 I1
C1 C1
GAME_PHASE
STARTING_PLAYER: 0
F12 G4
C1 N9
F5 E4
N9 G7
F5 E5
E5 H4
F5 E6
F7 L5
F5 F5
G1 A2
F5 F6
F7 D8
F5 F7
L4 I1
F5 F8
H5 H1
F5 F9
H8 C11
G4 G5
I1 A11
F5 H3
A11 E6
I7 L2
E6 B11
F5 L2
B2 E8
F5 L3
D11 A7
F5 L4
F8 I9
F5 L5
L4 G3
F5 L6
I12 I9
L2 B10
B11 N10
F5 B11
N10 F3
G5 L9
I12 M3
F5 M9
L9 B3
F5 L9
B7 D5
L9 C3
C3 F8
F5 B3
E5 E1
F5 D5
G7 I5
F5 D3
I5 C11
C3 L8
F1 D6
F5 H8
C11 A6
F5 G8
E6 E4
F5 F8
F4 E2
F5 E8
I12 N3
L8 E7
F3 N8
E7 L3
F2 H6
L3 C3
I6 E9
B10 F10
A6 L10
F5 G9
L10 F1
F5 F9
F9 G1
F5 E9
I12 E3
F5 G12
H1 C10
F5 H12
D10 C1
F5 I12
F1 I2
F5 L12
I12 H3
F5 M12
I2 N7
F10 L5
N7 F9
F5 N7
N8 L8
L5 D10
L8 A11
F5 F9
D1 B4
F5 G9
A11 C11
C3 L9
C4 E4
L9 L3
C11 A12
