C8 G8
G11 M11
B2 B6
A8 A10
I12 M12
A1 C1
A3 A3
E4 E4
L4 L8
F9 L9
D2 D6
B6 B8
H2 L2
A7 A9
A11 A11
C4 C4
GAME_PHASE
STARTING_PLAYER: 0
E4 H8
D4 H5
E8 A6
C4 B10
H8 E6
B7 G4
E8 A6
L6 B2
E8 N11
G4 E2
E8 B11
I2 G11
E6 B10
H9 I8
A3 H7
L6 I5
B1 L7
D4 B6
B4 D8
B10 M3
B10 E1
M3 A12
L7 E5
A8 B2
H7 N9
L6 L9
L12 G3
L6 F10
A9 D3
D4 G4
E8 M1
L6 N4
E1 N11
H9 B7
E8 D7
A11 A10
I11 L11
D4 D2
N9 A3
A12 C3
E5 M12
D4 E12
E8 L12
L6 A10
M12 C11
B2 C11
N11 A7
C3 N3
B4 D1
H9 N7
B4 D10
L6 N12
I11 M5
N3 B2
B4 D2
C11 H2
A3 L5
H2 M9
L5 N4
A10 E5
G3 I7
B2 B1
A7 M2
E5 C12
B4 D6
M9 H1
I11 E3
L6 I12
M2 L4
E2 A2
B4 H5
G11 E12
I11 N2
H1 H5
C11 M12
H5 M8
L4 L3
B1 H12
M12 G1
A2 M1
N4 G12
D4 A4
G12 A8
D4 B8
L3 C4
C12 N4
B4 I8
H9 B9
B4 H8
L6 D7
C4 H5
E12 G11
A8 C11
H9 D1
I11 C4
H9 L3
D3 B9
N4 I3
B4 C2
L6 L9
