A1 A5
N12 H12
M2 M6
H3 H5
A12 C12
C4 E4
E9 E9
M10 M10
D3 H3
F7 F11
A10 E10
G5 I5
I1 M1
B11 D11
A11 A11
L2 L2
GAME_PHASE
STARTING_PLAYER: 0
M10 L10
L2 L4
L10 C10
F9 B5
M4 A11
C10 G4
M4 D11
F3 M3
M4 B11
F3 A12
M4 C11
F3 M8
M4 A10
C10 I5
M4 B10
F3 G8
M4 C10
L4 L2
M4 D10
F9 D8
M4 E10
F3 I8
C10 C3
F3 G7
D4 M7
L1 C10
E9 E3
F3 E3
M4 F3
F3 G6
M4 E3
F3 I11
M4 D3
L2 D12
M4 G3
H5 B7
C3 G5
F3 I7
M4 H3
F9 B7
M4 F7
F9 I6
G5 F7
F9 N12
M4 F8
C10 L2
M4 F9
B7 M10
M4 F10
D12 A10
M4 F11
M10 M1
F7 L3
A10 E8
M4 N1
E8 G1
M4 M1
L2 F7
L3 N1
M1 B11
N1 N11
B11 B6
M4 L1
F7 D11
B12 G11
G1 L3
N11 D3
L3 N5
D3 D10
N5 I2
M4 C11
D11 L8
M4 D11
L8 L4
D10 L11
L4 D1
L11 L3
B6 G11
M4 I2
D1 M7
L3 G7
G11 E5
G7 C7
E5 E8
M4 D5
E8 G6
C7 G2
M7 M8
G2 H10
M8 F2
H10 L9
F2 H4
L9 E7
H4 D12
M4 F6
D12 B11
M4 H6
B11 M12
E7 C3
M12 H10
